,Classes,Difficulty
1,AHS008,1.00
2,AHS010S,4.00
3,AHS017B,4.00
4,AHS021,3.00
5,AHS023,5.00
6,AHS028,6.33
7,ANTH001,2.88
8,ANTH002,4.00
9,ANTH003,4.20
10,ANTH005,3.70
11,ANTH006,5.50
12,ANTH007S,2.00
13,ANTH020,6.00
14,ANTH020S,3.00
15,ANTH100,4.00
16,ANTH104,4.00
17,ANTH115R,6.50
18,ANTH118,7.00
19,ANTH120,2.00
20,ANTH132,9.00
21,ANTH140G,2.00
22,ANTH115S,9.00
23,ANTH127S,2.00
24,ANTH153,5.00
25,ANTH155,6.00
26,ANTH165G,3.00
27,ARC072,2.00
28,ART001,3.00
29,ART002,2.50
30,ART003,1.00
31,ART005,4.00
32,ART006,1.00
33,ART010,1.00
34,AST023,4.50
35,AST046,3.00
36,BCH010,1.00
37,BCH015,2.67
38,BCH095,1.00
39,BCH096,1.00
40,BCH100,5.40
41,BCH100A,8.00
42,BCH110A,8.25
43,BCH110B,5.50
44,BCH110C,6.50
45,BIEN001,1.00
46,BIEN010,1.50
47,BIEN105,9.00
48,BIEN125,3.00
49,BIEN135,2.00
50,BIEN138,9.00
51,BIEN140A,1.00
52,BIOL002,3.00
53,BIOL003,5.50
54,BIOL005A,6.44
55,BIOL05LA,5.33
56,BIOL005B,7.80
57,BIOL05LB,4.33
58,BIOL005C,4.93
59,BIOL020,6.40
60,BIOL030,4.00
61,BIOL040,3.00
62,BIOL102,6.80
63,BIOL104,7.00
64,BIOL105,5.00
65,BIOL107A,7.40
66,BIOL108,7.00
67,BIOL115,8.00
68,BIOL116,4.83
69,BIOL119,6.75
70,BIOL121,4.33
71,BIOL121L,5.00
72,BIOL127,4.00
73,BIOL128,10.00
74,BIOL132,6.00
75,BIOL155,10.00
76,BIOL157,5.67
77,BIOL161A,7.00
78,BIOL162,1.50
79,BIOL163,5.50
80,BIOL171A,8.00
81,BIOL174,7.00
82,BIOL176,4.00
83,BIOL178,6.00
84,BPSC011,1.50
85,BPSC104,7.00
86,BPSC132,6.00
87,BPSC143,6.00
88,BSWT001,3.00
89,BSWT002,3.00
90,BSWT003,7.50
91,BUS010,4.20
92,BUS020,6.31
93,BUS100W,5.57
94,BUS101,2.33
95,BUS102,6.33
96,BUS103,6.00
97,BUS104,5.67
98,BUS105,5.67
99,BUS106,6.20
100,BUS107,7.50
101,BUS108,5.00
102,BUS109,5.00
103,BUS110,3.00
104,BUS121,2.00
105,BUS124,8.00
106,BUS125,7.50
107,BUS126,7.00
108,BUS127,4.00
109,BUS132,8.00
110,BUS136,5.00
111,BUS143,3.50
112,BUS145,4.00
113,BUS146,3.00
114,BUS149,3.00
115,BUS154,6.00
116,BUS155,6.00
117,BUS157,6.00
118,BUS165A,9.00
119,BUS165B,5.00
120,BUS171,5.00
121,BUS173,4.00
122,BUS175,1.00
123,BUS179,2.00
124,CBNS101,6.33
125,CBNS106,6.67
126,CBNS116,8.00
127,CBNS120,9.00
128,CBNS120L,5.50
129,CBNS121,4.00
130,CBNS124,7.67
131,CBNS125,8.00
132,CBNS128,5.00
133,CBNS150,10.00
134,CEE010,1.00
135,CEE135,6.00
136,CEE158,2.00
137,CHE100,6.33
138,CHE105,4.00
139,CHE110A,4.00
140,CHE110B,8.00
141,CHE114,7.00
142,CHE116,7.00
143,CHE120,8.33
144,CHE122,8.00
145,CHE130,6.00
146,CHE135,4.00
147,CHE160A,4.00
148,CHEM001A,5.66
149,CHEM01LA,3.11
150,CHEM001B,5.75
151,CHEM01LB,3.25
152,CHEM001C,6.07
153,CHEM01LC,7.17
154,CHEM005,6.00
155,CHEM008A,7.04
156,CHEM08LA,5.86
157,CHEM008B,8.00
158,CHEM08LB,5.25
159,CHEM008C,7.00
160,CHEM08LC,6.50
161,CHEM109,9.00
162,CHEM110A,5.40
163,CHEM110B,5.00
164,CHEM111,6.50
165,CHEM125W,6.00
166,CHEM150A,7.00
167,CHN020A,4.00
168,CHN020B,3.00
169,CHN046,3.00
170,CHN101A,4.00
171,CHN132,6.00
172,CLA010A,4.00
173,CLA010B,4.40
174,CLA010C,4.00
175,CLA012C,5.00
176,CLA040,3.33
177,CLA112,5.00
178,CPLT002,8.00
179,CPLT017A,7.00
180,CPLT017C,6.00
181,CPLT023,4.50
182,CPLT025,3.00
183,CPLT062,3.00
184,CPLT070,8.50
185,CPLT110,2.00
186,CRWT046S,3.50
187,CRWT047S,3.50
188,CRWT056,2.46
189,CRWT057C,5.00
190,CRWT066,2.00
191,CS005,4.00
192,CS006,3.60
193,CS008,2.53
194,CS009C,6.00
195,CS010A,3.21
196,CS010V,5.00
197,CS011,4.67
198,CS010B,6.67
199,CS013,5.00
200,CS010C,7.84
201,CS061,6.70
202,CS100,7.15
203,CS105,6.00
204,CS110,7.00
205,CS111,7.78
206,CS120A,4.50
207,CS120B,7.04
208,CS122A,4.00
209,CS130,8.11
210,CS135,6.67
211,CS141,8.56
212,CS144,6.00
213,CS150,6.46
214,CS152,7.23
215,CS153,6.56
216,CS160,4.50
217,CS161,4.42
218,CS161L,3.00
219,CS164,8.00
220,CS165,9.60
221,CS166,8.60
222,CS167,6.00
223,CS168,5.00
224,CS169,10.00
225,CS170,4.40
226,CS171,9.73
227,CS172,5.67
228,CS175,3.50
229,CS179E,10.00
230,CS179F,2.00
231,CS179G,4.00
232,CS179N,2.00
233,CS180,6.00
234,CS181,9.00
235,CS182,6.00
236,CS183,4.00
237,CS201,6.00
238,CS203,7.00
239,CS205,5.00
240,CS206,10.00
241,CS218,9.00
